Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
MMM,1.10E+11,7/20/2016,4:02 PM,0.10%,1351052,1946550
ABT,62660000000,7/20/2016,4:00 PM,2.03%,13642493,11283600
ABBV,1.03E+11,7/20/2016,4:00 PM,0.14%,7483864,9139880
ACN,71870000000,7/20/2016,4:01 PM,1.83%,2659437,2082320
ATVI,30550000000,7/20/2016,4:00 PM,-0.34%,5924885,9015570
AYI,11650000000,7/20/2016,4:02 PM,0.42%,256149,515494
ADBE,49030000000,7/20/2016,4:00 PM,0.62%,1420773,2479170
AAP,12020000000,7/20/2016,4:02 PM,0.03%,444955,1098810
AES,8280000000,7/20/2016,4:00 PM,0.40%,3035482,4631960
AET,40840000000,7/20/2016,4:00 PM,1.16%,2963581,2821690
AMG,7890000000,7/20/2016,4:02 PM,0.43%,267334,605705
AFL,30410000000,7/20/2016,4:02 PM,0.33%,1334566,2173020
A,15300000000,7/20/2016,4:03 PM,0.06%,2121973,2205480
APD,32270000000,7/20/2016,4:00 PM,-0.02%,612393,1051730
AKAM,10150000000,7/20/2016,4:00 PM,0.66%,1160828,1712930
ALK,7830000000,7/20/2016,4:02 PM,-0.59%,1916282,2182080
ALB,9730000000,7/20/2016,4:02 PM,0.81%,942606,1787760
AA,13950000000,7/20/2016,4:01 PM,-0.19%,16291228,22570900
ALXN,28430000000,7/20/2016,4:00 PM,2.23%,1809759,1913460
ALLE,6890000000,7/20/2016,4:02 PM,0.13%,317216,618181
AGN,97680000000,7/20/2016,4:01 PM,1.78%,2210439,3636460
ADS,12670000000,7/20/2016,4:01 PM,0.28%,1075108,870238
LNT,8980000000,7/20/2016,4:05 PM,-0.15%,882118,2163200
ALL,25870000000,7/20/2016,4:01 PM,-0.03%,863874,1961240
GOOGL,5.20E+11,7/20/2016,4:00 PM,0.49%,1116291,1906730
GOOG,5.09E+11,7/20/2016,4:00 PM,0.57%,1269744,1798160
MO,1.35E+11,7/20/2016,4:00 PM,-0.30%,4254630,6063430
AMZN,3.52E+11,7/20/2016,4:00 PM,0.78%,2170015,3843430
AEE,12670000000,7/20/2016,4:00 PM,-0.25%,824577,1900100
AAL,20770000000,7/20/2016,4:00 PM,-0.25%,13075669,11841800
AEP,34070000000,7/20/2016,4:00 PM,-0.60%,1395435,2695180
AXP,61320000000,7/20/2016,4:00 PM,0.50%,7958840,5023730
AIG,61070000000,7/20/2016,4:00 PM,0.20%,3427014,6889110
AMT,49990000000,7/20/2016,4:01 PM,0.31%,1573436,1800290
AWK,14500000000,7/20/2016,4:02 PM,-0.16%,884043,1362830
AMP,16000000000,7/20/2016,4:02 PM,0.12%,764057,1211660
ABC,18700000000,7/20/2016,4:01 PM,0.84%,1246095,2737450
AME,11150000000,7/20/2016,4:02 PM,-0.44%,1203184,1611160
AMGN,1.23E+11,7/20/2016,4:00 PM,0.47%,2146473,2821400
APH,18220000000,7/20/2016,4:00 PM,1.06%,2689765,1194870
APC,27830000000,7/20/2016,4:00 PM,1.24%,4043787,4911390
ADI,18650000000,7/20/2016,4:00 PM,0.70%,1386797,2033950
ANTM,35620000000,7/20/2016,4:00 PM,2.58%,1824449,1805500
AON,29140000000,7/20/2016,4:02 PM,0.23%,457774,1159670
APA,20670000000,7/20/2016,4:01 PM,-0.47%,2128138,3672030
AIV,7060000000,7/20/2016,4:02 PM,-0.55%,810948,1109050
AAPL,5.48E+11,7/20/2016,4:00 PM,0.09%,25998017,39163200
AMAT,29030000000,7/20/2016,4:00 PM,0.99%,9731512,13626100
ADM,25500000000,7/20/2016,4:00 PM,-0.21%,2701798,3761220
AJG,8640000000,7/20/2016,4:02 PM,0.16%,400459,1704700
AIZ,5410000000,7/20/2016,4:02 PM,-0.23%,280106,530781
T,2.63E+11,7/20/2016,4:00 PM,-0.14%,13838498,21563800
ADSK,13090000000,7/20/2016,4:00 PM,1.30%,1980021,1814020
ADP,43450000000,7/20/2016,4:00 PM,0.39%,1082156,2033170
AN,5290000000,7/20/2016,4:00 PM,1.18%,1243044,1353010
AZO,23390000000,7/20/2016,4:00 PM,0.55%,194417,267187
AVGO,64340000000,7/20/2016,4:00 PM,1.33%,1789249,2620770
AVB,25210000000,7/20/2016,4:03 PM,-0.26%,392138,799881
AVY,6550000000,7/20/2016,4:02 PM,0.71%,407606,752341
BHI,20020000000,7/20/2016,4:02 PM,-0.07%,2951526,3802410
BLL,10000000000,7/20/2016,4:01 PM,1.10%,1299419,2069210
BAC,1.51E+11,7/20/2016,4:01 PM,0.98%,77865638,95106096
