Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",44.9537029,-93.0899578
,ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",42.325578,-87.8411818
,ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",42.325578,-87.8411818
,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",53.3498053,-6.2603097
,ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",34.0194543,-118.4911912
,AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",33.7489954,-84.3879824
,ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",37.3382082,-121.8863286
,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",37.2709704,-79.9414266
,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",38.8799697,-77.1067698
,AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",41.76371109999999,-72.6850932
,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",42.5584283,-70.880049
,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",32.4609764,-84.9877094
,A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",37.3541079,-121.9552356
,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",40.6084305,-75.4901833
,AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",42.3736158,-71.10973349999999
,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",47.6062095,-122.3320708
,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",30.4582829,-91.1403196
,AA,Alcoa Inc,Materials,Aluminum,"New York, New York",40.7127837,-74.0059413
,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",41.5083668,-72.9106202
,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",53.3498053,-6.2603097
,AGN,Allergan plc,Health Care,Pharmaceuticals,"Dublin, Ireland",53.3498053,-6.2603097
,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",33.0198431,-96.6988856
,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",43.0730517,-89.4012302
,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",42.1171608,-87.8353278
,GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",37.3860517,-122.0838511
,GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",37.3860517,-122.0838511
,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",37.5407246,-77.4360481
,AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",47.6062095,-122.3320708
,AEE,Ameren Corp,Utilities,MultiUtilities,"St. Louis, Missouri",38.6270025,-90.19940419999999
,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",32.7554883,-97.3307658
,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",39.9611755,-82.99879419999999
,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",40.7127837,-74.0059413
,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",40.7127837,-74.0059413
,AMT,American Tower Corp A,Financials,Specialized REITs,"Boston, Massachusetts",42.3600825,-71.0588801
,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",39.8519447,-74.961517
,AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",44.977753,-93.2650108
,ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",40.0756627,-75.45908159999999
,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",40.045824,-75.4395931
,AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",34.1705609,-118.8375937
,APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",41.4570108,-72.8230736
,APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",30.1658207,-95.46126249999999
,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",42.19439089999999,-71.19896949999999
,ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",39.768403,-86.158068
,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",51.5073509,-0.1277583
,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.3698028
,AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado",39.7392358,-104.990251
,AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",37.3229978,-122.0321823
,AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",37.3541079,-121.9552356
,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",39.8403147,-88.9548001
,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",41.9750287,-88.0072909
,AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",40.7127837,-74.0059413
,T,AT&T Inc,Telecommunication Services,Integrated Telecommunications Services,"Dallas, Texas",32.7766642,-96.79698789999999
,ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",37.9735346,-122.5310874
,ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",40.8206555,-74.2937594
,AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",26.1224386,-80.13731740000001
,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",35.1495343,-90.0489801
,AVGO,Avago Technologies,Information Technology,Semiconductors,"San Jose, California",37.3382082,-121.8863286
,AVB,"AvalonBay Communities, Inc.",Financials,Residential REITs,"Arlington, Virginia[3]",38.8435093,-77.0958055
,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",34.1425078,-118.255075
,BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.3698028
,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",39.9205411,-105.0866504
,BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",35.2270869,-80.8431267
,BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",40.6951408,-74.4012651
,BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",42.1711365,-87.8445119
,BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",36.09985959999999,-80.244216
,BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",41.0167639,-74.2057011
,BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",40.6975898,-74.26316349999999
,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",41.2523634,-95.99798829999999
,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",44.8832982,-93.28300209999999
,BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",42.3667625,-71.3031132
,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",40.7127837,-74.0059413
,HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",39.0997265,-94.5785667
,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",41.8781136,-87.6297982
,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",42.6875323,-83.2341028
,BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",42.3600825,-71.0588801
,BSX,Boston Scientific,Health Care,Health Care Equipment & Services,"Marlborough, Massachusetts[4]",42.371661,-71.594084
,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services,"New York, New York",40.7127837,-74.0059413
,BF-B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",38.2526647,-85.7584557
,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",44.8546856,-93.47078599999999
,CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",40.8042649,-73.1690019
,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.3698028
,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",39.9259463,-75.1196199
,COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",38.9187222,-77.2310925
,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors & Services,"Dublin, Ohio",40.0992294,-83.1140771
,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",37.5407246,-77.4360481
,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",25.7616798,-80.1917902
,CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",40.6936488,-89.5889864
,CBG,CBRE Group,Financials,Real Estate Services,"Los Angeles, California",34.0522342,-118.2436849
,CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",40.7127837,-74.0059413
,CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",40.7146376,-74.3646122
,CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",38.6270025,-90.19940419999999
,CNP,CenterPoint Energy,Utilities,MultiUtilities,"Houston, Texas",29.7604267,-95.3698028
,CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunications Services,"Monroe, Louisiana",32.5093109,-92.1193012
,CERN,Cerner,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",39.14290810000001,-94.5729781
,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",42.1711365,-87.8445119
,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",37.7749295,-122.4194155
,CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",35.4675602,-97.5164276
,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",37.7799273,-121.9780153
,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",39.7392358,-104.990251
,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",47.3768866,8.541694
,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",40.2599864,-74.79091249999999
,CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",39.9525839,-75.1652215
,XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",39.7392358,-104.990251
,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",39.3454673,-84.5603187
,CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",39.3600586,-84.309939
,CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",37.3382082,-121.8863286
,C,Citigroup Inc.,Financials,Banks,"New York, New York",40.7127837,-74.0059413
,CFG,Citizens Financial Group,Financials,Banks,"Providence, Rhode Island",41.8239891,-71.4128343
,CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",26.1224386,-80.13731740000001
,CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",41.8781136,-87.6297982
,CMS,CMS Energy,Utilities,MultiUtilities,"Jackson, Michigan",42.245869,-84.40134619999999
,COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",40.7127837,-74.0059413
,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",40.8932469,-74.0116536
,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",40.7127837,-74.0059413
,CMCSA,Comcast A Corp,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",39.9525839,-75.1652215
,CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",32.7766642,-96.79698789999999
,CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",41.2523634,-95.99798829999999
,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",31.9973456,-102.0779146
,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.3698028
,ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",40.7127837,-74.0059413
,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",42.9825633,-77.4088794
,GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",42.1428521,-77.05469029999999
,COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",47.5301011,-122.0326191
,CCI,Crown Castle International Corp.,Financials,REITs,"Houston, Texas",29.7604267,-95.3698028
,CSRA,CSRA Inc.,Information Technology,IT Consulting & Services,"Falls Church, Virginia",38.88233400000001,-77.1710914
,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",30.3321838,-81.65565099999999
,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",39.2014404,-85.9213796
,CVS,CVS Health,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",42.00287609999999,-71.51478390000001
,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",32.7554883,-97.3307658
,DHR,Danaher Corp.,Industrials,Industrial Machinery,Washington D.C,38.9071923,-77.0368707
,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",28.5383355,-81.3792365
,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",39.7392358,-104.990251
,DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",41.5067003,-90.51513419999999
,DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",51.386322,0.551438
,DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",33.7489954,-84.3879824
,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",39.9625984,-76.727745
,DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",35.4675602,-97.5164276
,DO,Diamond Offshore Drilling,Energy,Oil & Gas Drilling,"Houston, Texas",29.7604267,-95.3698028
,DLR,Digital Realty Trust,Financials,Specialized REITs,"San Francisco, California",37.7749295,-122.4194155
,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",42.1675254,-87.897014
,DISCA,Discovery Communications-A,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",38.99066570000001,-77.026088
,DISCK,Discovery Communications-C,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",38.99066570000001,-77.026088
,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",36.3231066,-86.7133302
,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",36.7682088,-76.2874927
,D,Dominion Resources,Utilities,Electric Utilities,"Richmond, Virginia",37.5407246,-77.4360481
,DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",41.8089191,-88.01117459999999
,DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",43.6155825,-84.2472116
,DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",33.0198431,-96.6988856
,DTE,DTE Energy Co.,Utilities,MultiUtilities,"Detroit, Michigan",42.331427,-83.0457538
,DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",39.7390721,-75.5397878
,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",35.2270869,-80.8431267
,DNB,Dun & Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",40.7483499,-74.3232194
,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",40.7127837,-74.0059413
,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",36.548434,-82.5618186
,ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",53.3498053,-6.2603097
,EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",37.3382082,-121.8863286
,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",44.9537029,-93.0899578
,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",34.0805651,-118.072846
,EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,"Irvine, California",33.6839473,-117.7946942
,EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",37.48521520000001,-122.2363548
,EMC,EMC Corp.,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",42.22869540000001,-71.5225646
,EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,"Ferguson, Missouri",38.7442175,-90.3053915
,ENDP,Endo International,Health Care,Pharmaceuticals,"Dublin, Ireland",53.3498053,-6.2603097
,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",29.95106579999999,-90.0715323
,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.3698028
,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",40.44062479999999,-79.9958864
,EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",33.7489954,-84.3879824
,EQIX,Equinix,Information Technology,Internet Software & Services,"Redwood City, California",37.48521520000001,-122.2363548
,EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",41.8781136,-87.6297982
,ESS,Essex Property Trust Inc,Financials,Residential REITs,"Palo Alto, California",37.4418834,-122.1430195
,EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",40.7127837,-74.0059413
,ES,Eversource Energy,Utilities,MultiUtilities,"Springfield, Massachusetts",42.1014831,-72.589811
,EXC,Exelon Corp.,Utilities,MultiUtilities,"Chicago, Illinois",41.8781136,-87.6297982
,EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",47.610377,-122.2006786
,EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",47.6062095,-122.3320708
,ESRX,Express Scripts,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",38.7278287,-90.310114
,EXR,Extra Space Storage,Financials,Specialized REITs,"Salt Lake City, UT",40.7607793,-111.8910474
,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",32.8140177,-96.9488945
,FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",47.6062095,-122.3320708
,FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",37.4529598,-122.1817252
,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",44.0553908,-91.6663523
,FRT,Federal Realty Investment Trust,Financials,Retail REITs,"Rockville, Maryland",39.0839973,-77.1527578
,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",35.1495343,-90.0489801
,FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",30.3321838,-81.65565099999999
,FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",39.1031182,-84.5120196
,FSLR,First Solar Inc,Information Technology,Semiconductors,"Tempe, Arizona",33.4255104,-111.9400054
,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",41.0814447,-81.51900529999999
,FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",43.0605671,-88.1064787
,FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",45.2998418,-122.7737062
,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",32.8140177,-96.9488945
,FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",32.8140177,-96.9488945
,FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",39.9525839,-75.1652215
,FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.3698028
,FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",40.7127837,-74.0059413
,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",42.3222599,-83.17631449999999
,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",47.9789848,-122.2020794
,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",42.1711365,-87.8445119
,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",37.5629917,-122.3255254
