Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
ASX,AGL,AGL Energy Ltd,Utilities,,Sydney,-33.8688197,151.2092955
ASX,AIO,Asciano Ltd,Industrials,,Melbourne,28.0836269,-80.6081089
ASX,AMC,Amcor Ltd,Materials,,Melbourne,28.0836269,-80.6081089
ASX,AMP,AMP Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,ANZ,ANZ Banking Group,Financials,,Melbourne,28.0836269,-80.6081089
ASX,APA,APA Group,Utilities,,Sydney,-33.8688197,151.2092955
ASX,ASX,ASX Limited,Financials,,Sydney,-33.8688197,151.2092955
ASX,AZJ,Aurizon Holdings Limited,Industrials,,Brisbane,-27.4697707,153.0251235
ASX,BHP,BHP Billiton Ltd,Materials,,Melbourne,28.0836269,-80.6081089
ASX,BXB,Brambles Ltd,Industrials,,Sydney,-33.8688197,151.2092955
ASX,CBA,Commonwealth Bank,Financials,,Sydney,-33.8688197,151.2092955
ASX,CCL,Coca-Cola Amatil Ltd,Consumer Staples,,Sydney,-33.8688197,151.2092955
ASX,CPU,Computershare Ltd,Information Technology,,Melbourne,28.0836269,-80.6081089
ASX,CSL,CSL Ltd,Health Care,,Melbourne,28.0836269,-80.6081089
ASX,CTX,Caltex Australia Ltd,Energy,,Sydney,-33.8688197,151.2092955
ASX,CWN,Crown Resorts Ltd,Consumer Discretionary,,Melbourne,28.0836269,-80.6081089
ASX,DXS,Dexus Property Group,Financials,Real Estate,Sydney,-33.8688197,151.2092955
ASX,GMG,Goodman Group Limited,Financials,,Sydney,-33.8688197,151.2092955
ASX,GPT,GPT Group,Financials,,Sydney,-33.8688197,151.2092955
ASX,IAG,Insurance Australia Group Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,IPL,Incitec Pivot,Materials,,Melbourne,28.0836269,-80.6081089
ASX,JHX,James Hardie,Materials,,Melbourne,28.0836269,-80.6081089
ASX,LLC,Lend Lease Group,Financials,,Sydney,-33.8688197,151.2092955
ASX,MQG,Macquarie Group Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,MPL,Medibank Private Limited,Financials,,Melbourne,28.0836269,-80.6081089
ASX,MGR,Mirvac Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,NAB,National Australia Bank Ltd,Financials,,Melbourne,28.0836269,-80.6081089
ASX,NCM,Newcrest Mining Ltd,Materials,,Melbourne,28.0836269,-80.6081089
ASX,ORG,Origin Energy Ltd,Energy,,Sydney,-33.8688197,151.2092955
ASX,ORI,Orica Ltd,Materials,,Melbourne,28.0836269,-80.6081089
ASX,OSH,Oil Search Ltd,Energy,,Port Moresby,-9.4438004,147.1802671
ASX,QBE,QBE Insurance Group Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,RHC,Ramsay Health Care Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,RIO,Rio Tinto Ltd,Materials,,Melbourne,28.0836269,-80.6081089
ASX,SCG,Scentre Group Ltd,Materials,,Sydney,-33.8688197,151.2092955
ASX,SEK,Seek Limited,Industrials,,Melbourne,28.0836269,-80.6081089
ASX,SGP,Stockland,Financials,,Sydney,-33.8688197,151.2092955
ASX,SHL,Sonic Healthcare Ltd,Health Care,,Sydney,-33.8688197,151.2092955
ASX,S32,South32 Ltd,Financials,,Perth,-31.9505269,115.8604572
ASX,STO,Santos Ltd,Energy,,Adelaide,-34.9284989,138.6007456
ASX,SUN,Suncorp Group Ltd,Financials,,Brisbane,-27.4697707,153.0251235
ASX,SYD,Sydney Airport Holdings,Industrials,,Sydney,-33.8688197,151.2092955
ASX,TCL,Transurban Group NPV,Industrials,,Melbourne,28.0836269,-80.6081089
ASX,TLS,Telstra Corp Ltd,Telecommunication Services,,Melbourne,28.0836269,-80.6081089
ASX,VCX,Vicinity Limited,Financials,,Melbourne,28.0836269,-80.6081089
ASX,WBC,Westpac Banking Corp,Financials,,Sydney,-33.8688197,151.2092955
ASX,WES,Wesfarmers Ltd,Industrials,,Perth,-31.9505269,115.8604572
ASX,WFD,Westfield Corporation Ltd,Financials,,Sydney,-33.8688197,151.2092955
ASX,WOW,Woolworths Ltd,Consumer Staples,,Sydney,-33.8688197,151.2092955
ASX,WPL,Woodside Petroleum Ltd,Energy,,Perth,-31.9505269,115.8604572
