Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,5930,SAMSUNG ELECTRONICS LTD,Information Technology,,"Suwon, South Korea",37.2635727,127.0286009
,700,TENCENT HOLDINGS LTD,Information Technology,,"Shenzhen, China",22.543096,114.057865
,2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,,"Hsinchu, Taiwan",24.8138287,120.9674798
,1299,AIA GROUP LTD,Financials,,"Hong Kong, China",22.396428,114.109497
,941,CHINA MOBILE LTD,Telecommunication Services,,"Beijing, China",39.904211,116.407395
,939,CHINA CONSTRUCTION BANK CORP H,Financials,Banking,"Beijing, China",39.904211,116.407395
,1398,INDUSTRIAL & COMMERCIAL BANK OF CH,Financials,,"Beijing, China",39.904211,116.407395
TT,2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,,"Tu-Chen City, Taipei, Taiwan",25.0329694,121.5654177
,1,CK HUTCHISON HOLDINGS LTD,Financials,,"Hong Kong Island, Hong Kong",22.2824673,114.1615726
,388,HONG KONG EXCHANGES AND CLEARING L,Financials,,"Exchange Square, Central, Hong Kong",22.283889,114.158333
,Z74,SINGAPORE TELECOMMUNICATIONS LTD,Telecommunication Services,,Singapore,1.352083,103.819836
,16,SUN HUNG KAI PROPERTIES LTD,Financials,,"Wanchai, Hong Kong",22.2783151,114.174695
HK,2318,PING AN INS GRP CO OF CHINA LTD- H,Financials,,"Shenzhen, China",22.543096,114.057865
,D05,DBS GROUP HOLDINGS LTD,Financials,,Singapore,1.352083,103.819836
,883,CNOOC LTD.,Energy,,"Beijing, China",39.904211,116.407395
,2,CLP HOLDINGS LTD,Utilities,,"Kowloon, Hong Kong",22.3185673,114.1796057
,1113,CHEUNG KONG PROPERTY HOLDINGS LTD,Financials,,"Hong Kong Island, Hong Kong",22.2824673,114.1615726
,U11,UNITED OVERSEAS BANK LTD,Financials,,Singapore,1.352083,103.819836
,386,CHINA PETROLEUM & CHEMICAL CORP.,Energy,,"Beijing, China",39.904211,116.407395
,O39,OVERSEA-CHINESE BANKING LTD,Financials,,Singapore,1.352083,103.819836
,5380,HYUNDAI MOTOR,Consumer Discretionary,,"Seoul, South Korea",37.566535,126.9779692
,2628,CHINA LIFE INS-H,Financials,,"Beijing, China",39.904211,116.407395
,660,SK HYNIX INC,Information Technology,,"Icheon, South Korea",37.2719952,127.4348221
,55550,SHINHAN FINANCIAL GROUP LTD,Financials,,"Seoul, South Korea",37.566535,126.9779692
,J36,JARDINE MATHESON HOLDINGS LTD,Industrials,,Hong Kong,22.396428,114.109497
,5490,POSCO,Materials,,"Pohang, South Korea",36.0190178,129.3434808
,12330,HYUNDAI MOBIS LTD,Consumer Discretionary,,"Seoul, South Korea",37.566535,126.9779692
,857,PETROCHINA CO LTD H,Energy,,"Beijing, China",39.904211,116.407395
,3,HONG KONG AND CHINA GAS LTD,Utilities,,"Quarry Bay, Hong Kong",22.2827206,114.2123009
,33780,KT&G CORP,Consumer Staples,,"Daejeon City, Korea",36.3504119,127.3845475
,15760,KOREA ELECTRIC POWER CORP,Utilities,,"Naju, South Korea",35.0160601,126.7107572
,2412,CHUNGHWA TELECOM CO. LTD.,Telecommunication Services,,"Taipei, Taiwan",25.0329694,121.5654177
,11,HANG SENG BANK LTD,Financials,,"Central, Hong Kong",22.2799907,114.1587983
,6,POWER ASSETS HOLDINGS LTD,Utilities,,Hong Kong,22.396428,114.109497
,105560,KB FINANCIAL GROUP INC,Financials,,"Seoul, South Korea",37.566535,126.9779692
,2388,BOC HONG KONG HOLDINGS LTD,Financials,,"Central, Hong Kong",22.2799907,114.1587983
,1301,FORMOSA PLASTICS CORP.,Materials,,"Taipei, Taiwan",25.0329694,121.5654177
,90430,AMOREPACIFIC CORP,Consumer Staples,,"Seoul, South Korea",37.566535,126.9779692
,28260,SAMSUNG C&T CORP,Industrials,,"Seoul, South Korea",37.566535,126.9779692
,2454,MEDIATEK INC.,Information Technology,,"Hsinchu, Taiwan",24.8138287,120.9674798
,1303,NAN YA PLASTICS CORP.,Materials,,"Kaohsiung Hsien, Taiwan",22.6272784,120.3014353
,270,KIA MOTORS CORP,Consumer Discretionary,,"Seoul, South Korea",37.566535,126.9779692
,2308,DELTA ELECTRONICS INC.,Information Technology,,"Taipei, Taiwan",25.0329694,121.5654177
,2891,CTBC FINANCIAL HOLDING CO LTD,Financials,,"Taipei, Taiwan",25.0329694,121.5654177
,1326,FORMOSA CHEMICALS & FIBRE CORP.,Materials,,"Changhua, Taiwan",23.9879194,120.4694642
,51910,LG CHEM LTD,Materials,,"Seoul, South Korea",37.566535,126.9779692
,2882,CATHAY FINANCIAL HOLDING LTD,Financials,,"Taipei, Taiwan",25.0329694,121.5654177
,1928,SANDS CHINA LTD,Consumer Discretionary,,"Macau, China",22.198745,113.543873
,2881,FUBON FINANCIAL HOLDING CO LTD,Financials,,"Taipei, Taiwan",25.0329694,121.5654177
,27,GALAXY ENTERTAINMENT GROUP LTD,Consumer Discretionary,,"Central, Hong Kong",22.2799907,114.1587983
