Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,NESN,NESTLE SA,Consumer Staples,,Switzerland,46.818188,8.227512
,NOVN,NOVARTIS AG,Health Care,,Switzerland,46.818188,8.227512
,ROG,ROCHE HOLDING PAR AG,Health Care,,Switzerland,46.818188,8.227512
,HSBA,HSBC HOLDINGS PLC,Financials,,United Kingdom,55.378051,-3.435973
,FP,TOTAL SA,Energy,,France,46.227638,2.213749
,BATS,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,RDSA,ROYAL DUTCH SHELL PLC CLASS A,Energy,,United Kingdom,55.378051,-3.435973
,GSK,GLAXOSMITHKLINE PLC,Health Care,,United Kingdom,55.378051,-3.435973
,BP/,BP PLC,Energy,,United Kingdom,55.378051,-3.435973
,RDSB,ROYAL DUTCH SHELL PLC,Energy,,United Kingdom,55.378051,-3.435973
,NOVOB,NOVO NORDISK CLASS B,Health Care,,Denmark,56.26392,9.501785
,ABI,ANHEUSER BUSCH INBEV SA,Consumer Staples,,Belgium,50.503887,4.469936
,SAN,SANOFI SA,Health Care,,France,46.227638,2.213749
,BAYN.DE,BAYER AG,Health Care,,Germany,51.165691,10.451526
,SIE,SIEMENS AG,Industrials,,Germany,51.165691,10.451526
,SAP,SAP,Information Technology,,Germany,51.165691,10.451526
,VOD,VODAFONE GROUP PLC,Telecommunication Services,,United Kingdom,55.378051,-3.435973
,UNA,UNILEVER DRC NV,Consumer Staples,,Netherlands,52.132633,5.291266
,AZN,ASTRAZENECA PLC,Health Care,,United Kingdom,55.378051,-3.435973
,BAS,BASF SE,Materials,,Germany,51.165691,10.451526
,DGE,DIAGEO PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,DAI,DAIMLER AG,Consumer Discretionary,,Germany,51.165691,10.451526
,ALV,ALLIANZ SE,Financials,,Germany,51.165691,10.451526
,RB.,RECKITT BENCKISER GROUP PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,SAN,BANCO SANTANDER SA,Financials,,Spain,40.463667,-3.74922
,ULVR,UNILEVER PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,SHP,SHIRE PLC,Health Care,,United Kingdom,55.378051,-3.435973
,NG.,NATIONAL GRID PLC,Utilities,,United Kingdom,55.378051,-3.435973
,SAB,SABMILLER PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,DTE,DEUTSCHE TELEKOM AG,Telecommunication Services,,Germany,51.165691,10.451526
,BNP,BNP PARIBAS SA,Financials,,France,46.227638,2.213749
,IMB,IMPERIAL BRANDS PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,UBSG,UBS GROUP REGISTERED AG,Financials,,Switzerland,46.818188,8.227512
,ASML,ASML HOLDING NV,Information Technology,,Netherlands,52.132633,5.291266
,OR,LOREAL SA,Consumer Staples,,France,46.227638,2.213749
,MC,LVMH MOET HENNESSY LOUIS VUITTON S,Consumer Discretionary,,France,46.227638,2.213749
,BT.A,BT GROUP PLC,Telecommunication Services,,United Kingdom,55.378051,-3.435973
,PRU,PRUDENTIAL PLC,Financials,,United Kingdom,55.378051,-3.435973
,TEF,TELEFONICA SA,Telecommunication Services,,Spain,40.463667,-3.74922
,BN,DANONE SA,Consumer Staples,,France,46.227638,2.213749
,LLOY,LLOYDS BANKING GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,INGA,ING GROEP NV,Financials,,Netherlands,52.132633,5.291266
,ABBN,ABB LTD,Industrials,,Switzerland,46.818188,8.227512
,ENI,ENI,Energy,,Italy,41.87194,12.56738
,RIO,RIO TINTO PLC,Materials,,United Kingdom,55.378051,-3.435973
,IBE,IBERDROLA SA,Utilities,,Spain,40.463667,-3.74922
,CS,AXA SA,Financials,,France,46.227638,2.213749
